node,count,hour
,915,00h
315,002,00h
3A3,023,00h
418,005,00h
3BC,010,00h
3DF,003,00h
400,008,00h
419,007,00h
3AF,005,00h
41A,005,00h
39B,004,00h
3A0,004,00h
3ED,002,00h
406,019,00h
3FF,006,00h
3B4,005,00h
3C6,009,00h
3E9,005,00h
417,005,00h
3A2,007,00h
78D,001,00h
B89,002,00h
3AC,021,00h
41D,016,00h
415,016,00h
405,009,00h
404,005,00h
3A5,002,00h
396,002,00h
421,006,00h
3FD,020,00h
B0A,004,00h
3EE,024,00h
675,002,00h
3C1,013,00h
A97,002,00h
3FC,012,00h
509,001,00h
484,014,00h
3E4,007,00h
425,010,00h
AB3,002,00h
3B9,009,00h
8A,001,00h
3A4,015,00h
449,011,00h
ACB,008,00h
40D,019,00h
422,002,00h
411,018,00h
402,007,00h
41F,002,00h
407,006,00h
3B2,008,00h
441,003,00h
475,010,00h
431,002,00h
434,010,00h
429,011,00h
439,005,00h
448,016,00h
AA5,004,00h
37C,002,00h
AB6,007,00h
A26,003,00h
3D1,014,00h
408,007,00h
3B0,004,00h
7D2,001,00h
2A0,001,00h
939,002,00h
17C,001,00h
31B,001,00h
9C3,007,00h
2B3,002,00h
B3B,001,00h
A47,002,00h
7E2,001,00h
A67,005,00h
8A8,002,00h
3B3,007,00h
88F,001,00h
73A,001,00h
18D,001,00h
899,001,00h
799,001,00h
920,003,00h
4E3,002,00h
54A,010,00h
A6B,002,00h
2AC,005,00h
9DB,003,00h
9FC,002,00h
35,014,00h
3F4,004,00h
438,008,00h
A9D,002,00h
A8F,006,00h
739,001,00h
4F1,001,00h
447,007,00h
64F,002,00h
7E0,001,00h
A8C,004,00h
446,005,00h
456,003,00h
A96,008,00h
42B,003,00h
A78,002,00h
204,011,00h
3F0,004,00h
A5D,001,00h
A98,005,00h
299,006,00h
BB7,001,00h
A84,003,00h
70A,002,00h
95C,012,00h
498,001,00h
95F,001,00h
515,002,00h
63D,001,00h
3EC,001,00h
40B,001,00h
43C,011,00h
427,001,00h
40A,002,00h
423,006,00h
46B,003,00h
A92,001,00h
7B8,008,00h
234,001,00h
A07,001,00h
ABA,001,00h
A9E,001,00h
959,001,00h
AF8,001,00h
2C1,001,00h
AF3,001,00h
338,001,00h
A02,001,00h
ACF,003,00h
B12,002,00h
AE3,002,00h
B11,005,00h
AD1,005,00h
AF7,010,00h
B34,005,00h
AE1,002,00h
B16,001,00h
AE9,003,00h
B40,003,00h
B13,002,00h
B1D,003,00h
B20,002,00h
AB8,004,00h
AD3,001,00h
B46,001,00h
AC3,002,00h
AEB,003,00h
B07,003,00h
B70,001,00h
AE7,001,00h
B4B,001,00h
B58,003,00h
B60,001,00h
B1F,002,00h
ABB,005,00h
B21,002,00h
46F,006,00h
A6A,004,00h
AEE,003,00h
B41,003,00h
AC1,003,00h
B1E,006,00h
AC2,004,00h
761,001,00h
AB9,003,00h
116,002,00h
A9B,002,00h
B0D,001,00h
AD0,003,00h
ACE,002,00h
AD9,002,00h
8FF,001,00h
AA2,004,00h
A93,002,00h
7FB,002,00h
AEA,001,00h
B0E,001,00h
B45,002,00h
AD5,002,00h
256,006,00h
800,001,00h
5B2,001,00h
91C,001,00h
B9D,001,00h
B54,001,00h
8EE,001,00h
B51,001,00h
6AE,001,00h
661,001,00h
A73,001,00h
9D1,001,00h
255,001,00h
,052,01h
45E,002,01h
ABE,003,01h
5C8,002,01h
4F3,002,01h
348,002,01h
B75,001,01h
B78,001,01h
612,001,01h
AA1,001,01h
B10,001,01h
B25,002,01h
D0,001,01h
B4A,002,01h
B43,002,01h
16D,001,01h
2BC,001,01h
6A6,010,01h
62D,001,01h
112,001,01h
B57,001,01h
B6E,001,01h
AD2,001,01h
B48,001,01h
B23,001,01h
B64,001,01h
443,005,01h
A4B,001,01h
